啊 Ah
担 carry
丹 red
单 one
郸 Henan
掸 whisk
胆 gallbladder
旦 dawn
氮 nitrogen
但 just
惮 fear
淡 thin
诞 birthday
弹 ball
蛋 egg
当 when
挡 gear
党 party
荡 sway
档 files
刀 knife
捣 smash
蹈 tread
倒 fall
岛 island
祷 pray
导 lead
到 arrive
稻 rice
悼 mourn
道 way
盗 steal
德 virtue
得 gain
的 of
蹬 pedal
灯 light
登 ascend
等 wait
瞪 stare
凳 stool
邓 Deng
堤 embankment
低 low
滴 drip
迪 Tea
敌 enemy
笛 whistle
狄 Di
涤 cleanse
翟 pheasant
嫡 son
抵 arrive
底 bottom
地 land
蒂 flower
第 ordinal
帝 emperor
弟 brother
递 give
缔 form
颠 top
掂 weigh
滇 Yunnan
碘 iodine
点 dot
典 ceremony
靛 indigo
垫 pad
电 electricity
佃 till
甸 pasture
店 shop
惦 remember
奠 establish
淀 precipitate
殿 hall
碉 blockhouse
叼 hold
雕 carve
凋 wither
刁 tricky
掉 fall
吊 hang
钓 fish
调 melody
跌 fall
爹 father
碟 plate
蝶 butterfly
迭 change
谍 spy
叠 fold
丁 man
盯 stare
叮 bite
钉 nail
顶 top
鼎 weighty
锭 spindle
定 decide'
订 order
丢 lose
东 east
冬 winter
董 direct
懂 understand
动 move
栋 ridgepole
侗 naive
恫 fear
冻 freeze
洞 hole
兜 pocket
抖 shake
斗 fight
陡 steep
豆 bean
逗 amuse
痘 blain
都 all
督 superintend
毒 poison
犊 calf
独 alone
读 read
堵 stifled
睹 see
赌 gamble
杜 stop
镀 plate
肚 belly
度 limit
渡 cross
妒 envy
端 end
短 short
锻 forge
段 paragraph
断 break
缎 satin
堆 pile
兑 exchange
队 team
对 right
墩 cluster
吨 ton
蹲 squat
敦 Dun
顿 meal
囤 store
钝 blunt
盾 shield
遁 escape
掇 pick
哆 DORA
多 more
夺 deprive
垛 battlements
躲 avoid
朵 duo
跺 stamp
舵 rudder
剁 chop
惰 lazy
堕 fall
蛾 moth
峨 high
鹅 goose
俄 Russian
额 forehead
讹 erroneous
娥 pretty
恶 evil
厄 disaster
扼 clutch
遏 check
鄂 Hubei
饿 hungry
恩 grace
而 moreover
儿 son
耳 ear
尔 you
饵 bait
洱 Er
二 two
贰 two
发 launch
罚 punish
筏 raft
伐 cut
乏 lack
阀 valve
法 law
珐 enamel
藩 fence
帆 sail
番 time
翻 translate
樊 fence
矾 alum
钒 vanadium
繁 numerous
凡 every
烦 annoyed
反 against
返 return
范 model
贩 dealer
犯 sin
饭 meal
泛 extensive
坊 lane
芳 good
方 side
肪 fat
房 house
防 prevent
妨 harm
仿 imitate
访 visit
纺 spin
放 release
菲 luxuriant
非 mistake
啡 coffee
飞 fly
肥 fat
匪 bandit
诽 slander
吠 bark
肺 lung
废 crippled
沸 boil
费 fee
芬 fragrance
酚 phenol
吩 porphin
氛 atmosphere
分 minute
纷 confused
坟 grave
焚 burn
汾 Fen
粉 powder
奋 raise
份 part
忿 anger
愤 anger
粪 shit
丰 abundant
封 seal
枫 maple
蜂 bee
峰 peak
锋 front
风 wind
疯 insane
烽 beacon
逢 meet
冯 Feng
缝 seam
讽 mock
奉 esteem
凤 phoenix
佛 Buddha
否 no
夫 husband
敷 apply
肤 skin
孵 hatch
扶 help
拂 whisk
辐 spoke
幅 width
氟 fluorine
符 symbol
伏 submit
俘 captive
服 clothes
浮 float
涪 fucheng
福 blessing
袱 cloth
弗 not
甫 just
抚 comfort
辅 Fu
俯 bow
釜 kettle
斧 axe
脯 chest
腑 relieving
府 mansion
腐 decay
赴 attend
副 assistant
覆 cover
赋 compose
复 repeated
傅 teach
付 pay
阜 mound
父 father
腹 abdomen
负 lose
富 rich
讣 obituary
附 attach
妇 woman
缚 bind
咐 tell
噶 garment
嘎 creak
该 should
改 change
概 general
钙 calcium
盖 cover
溉 irrigate
干 do
甘 willingly
杆 pole
柑 tangerine
竿 pole
肝 liver
赶 drive
感 feel
秆 stalk
敢 dare
赣 Jiangxi
肛 anus
纲 class
岗 post
港 harbor
杠 flagstaff
篙 punt-pole
皋 marsh
高 tall
膏 fat
羔 lamb
糕 cake
搞 do
镐 pickaxe
稿 straw
告 tell
哥 brother
歌 song
搁 put
胳 armpit
疙 pimple
革 leather
葛 Ge
格 rattle
蛤 clam
阁 tower
隔 separate
铬 chromium
个 individual
耕 plough
更 more
庚 age
耿 dedicated
恭 respectful
宫 palace
拱 arch
贡 tribute
构 construct
菇 mushroom
咕 cluck
沽 sell
孤 alone
姑 aunt
鼓 drum
古 ancient
蛊 seduce
谷 grain
股 thigh
故 accident
顾 visit
固 firm
雇 hire
刮 scrape
瓜 melon
剐 cut
挂 hang
褂 gown
乖 good
拐 abduct
怪 monster
棺 coffin
关 close
官 officer
冠 crown
观 observe
管 pipe
馆 pavilion
罐 pot
惯 spoil
灌 fill
贯 birthplace
光 light
广 wide
逛 stroll
瑰 rare
规 rule
圭 Gui
硅 silicon
归 return
龟 turtle
闺 boudoir
轨 rail
诡 cunning
癸 stems
桂 laurel
柜 cabinet
跪 kneel
贵 expensive
刽 cut
辊 roller
滚 roll
棍 stick
锅 pot
郭 Guo
国 country
果 fruit
裹 wrap
过 excessive
哈 ha
骸 skeleton
孩 child
海 sea
氦 helium
亥 Hai
害 evil
骇 hack
酣 drink
憨 foolish
邯 Dan
韩 Korea
含 contain
涵 culvert
寒 cold
函 letter
喊 call
罕 rare
翰 writing
撼 shake
扞 defend
旱 drought
憾 regret
悍 fierce
焊 weld
汗 sweat
汉 han
杭 Hangzhou
航 boat
壕 moat
嚎 howl
豪 heroic
毫 fine
郝 Hao
好 well
耗 consume
号 mark
浩 great
呵 oh
喝 drink
荷 lotus
核 nucleus
禾 millet
和 sum
何 He
合 combine
盒 box
貉 racoon
阂 cut
河 river
涸 dry
赫 conspicuous
褐 brown
鹤 crane
贺 congratulate
嘿 hey
黑 black
痕 mark
很 quite
狠 very
恨 hate
哼 hum
亨 prosperous
横 across
衡 weigh
恒 constant
轰 bang
哄 coax
烘 dry
虹 rainbow
鸿 great
洪 flood
宏 macro
弘 great
红 red
喉 throat
侯 marquis
猴 monkey
吼 roar
厚 thickness
候 wait
后 queen
呼 exhale
乎 hu
忽 suddenly
瑚 Hu
壶 pot
葫 garlic
胡 moustache
蝴 butterfly
狐 fox
糊 paste
湖 lake
弧 arc
虎 tiger
唬 bluff
护 protect
互 mutual
沪 Shanghai
户 family
花 flower
哗 clamour
华 splendid
猾 crafty
滑 slide
画 painting
划 paddle
化 change
话 word
槐 japonica
徊 linger
怀 pregnant
淮 Huai
坏 bad
欢 joyous
环 loop
桓 Huan
还 also
缓 postpone
换 exchange
徽 emblem
恢 extensive
蛔 roundworm
回 answer
毁 damage
悔 regret
慧 intelligent
卉 grass
惠 benefit
晦 night
贿 bribe
秽 dirty
会 meet
烩 braise
汇 remit
讳 taboo
诲 teach
绘 paint
荤 meat
昏 confuse
婚 marry
魂 soul
浑 muddy
混 mix
豁 exempt
活 live
伙 partnership
火 fire
获 obtain
或 or
惑 delude
霍 suddenly
货 money
祸 disaster
击 beat
圾 rubbish
基 base
机 chance
畸 abnormal
稽 check
积 product
箕 dustpan
肌 muscle
饥 famine
迹 mark
激 swash
讥 ridicule
鸡 chicken
姬 Ji
绩 achievement
缉 seize
吉 auspicious
极 highly
棘 thorn
辑 compile
籍 record
集 set
及 and
急 anxious
疾 disease
汲 water
即 be
嫉 hate
级 step
挤 crush
几 several
脊 ridge
己 oneself
蓟 thistle
技 skill
冀 hope
季 season
伎 skill
祭 wield
剂 agent
悸 palpitate
济 aid
寄 send
寂 lonely
计 count
记 remember
既 as
忌 avoid
际 boundary
妓 prostitute
继 follow
纪 age
嘉 fine
枷 cangue
夹 mingle
佳 good
家 family
加 plus
荚 pod
颊 cheek
贾 merchant
甲 armour
钾 potassium
假 fake
稼 cereals
价 price
架 frame
驾 draw
嫁 shift
歼 annihilate
监 supervise
坚 solid
尖 needle
笺 annotation
间 between
煎 decoct
兼 concurrently
肩 shoulder
艰 difficult
奸 evil
缄 seal
茧 cocoon
检 inspect
柬 card
碱 alkali
拣 choose
捡 collect
简 simple
俭 frugal
剪 shear
减 subtract
荐 recommend
槛 threshold
鉴 mirror
践 trample
贱 low-priced
见 see
键 key
箭 arrow
件 piece
健 healthy
舰 warship
剑 sword
饯 candy
渐 gradually
溅 splash
涧 gully
建 build
僵 stiff
姜 ginger
将 will
浆 syrup
江 river
疆 boundary
蒋 Jiang
桨 oar
奖 award
讲 speak
匠 artisan
酱 sauce
降 drop
蕉 broadleaf
椒 spice
礁 reef
焦 burnt
胶 glue
交 deal
郊 suburbs
浇 water
骄 arrogant
娇 charming
嚼 chew
搅 mix
铰 ream
矫 correct
侥 spare
脚 foot
狡 crafty
角 angle
饺 dumpling
缴 pay
绞 twist
剿 suppress
教 teach
酵 leaven
轿 sedan
较 compare
叫 cry
窖 cellar
揭 uncover
接 join
皆 all
秸 straw
街 street
阶 steps
截 cut
劫 plunder
节 knob
桔 tangerine
杰 outstanding
捷 prompt
睫 eyelash
竭 exhaust
洁 clean
结 knot
解 unbind
姐 sister
戒 ring
藉 mat
芥 mustard
界 boundary
借 borrow
介 between
疥 scabies
诫 commandment
届 period
巾 scarf
筋 tendon
斤 axe
金 gold
今 this
津 saliva
襟 bosom
紧 strict
锦 brocade
仅 only
谨 sincerely
进 enter
靳 grudge
晋 Jin
禁 bear
近 near
烬 cinder
浸 soak
尽 all
劲 powerful
荆 vitex
兢 fearful
茎 stem
睛 eyeball
晶 crystal
鲸 whale
京 Beijing
惊 start
精 refined
粳 rice
经 channels
井 well
警 police
景 scene
颈 neck
静 quiet
境 condition
敬 respect
镜 mirror
径 diameter
痉 spasm
靖 peaceful
竟 unexpectedly
竞 compete
净 net
炯 bright
窘 embarrassed
揪 pull
究 investigate
纠 correct
玖 nine
韭 chives
久 long
灸 cauterize
九 nine
酒 liquor
厩 stable
救 save
旧 former
臼 mortar
舅 uncle
咎 blame
就 soon
疚 remorse
鞠 rear
拘 arrest
狙 spy
疽 ulcer
居 house
驹 colt
菊 chrysanthemum
局 bureau
咀 chew
矩 moment
举 lift
沮 stop
聚 gather
拒 refuse
据 occupy
巨 huge
具 have
距 distance
踞 crouch
锯 saw
俱 all
句 sentence
惧 fear
炬 torch
剧 drama
捐 donate
鹃 cuckoo
娟 beautiful
倦 tired
眷 family
卷 roll
绢 silk
撅 snap
攫 seize
抉 pick
掘 dig
倔 stubborn
爵 peerage
觉 sleep
决 definitely
诀 knack
绝 absolutely
均 all
菌 bacterium
钧 you
军 army
君 monarch
峻 harsh
俊 handsome
竣 complete
浚 dredge
郡 county
骏 steed
喀 coughing
咖 coffee
卡 clip
咯 cough
开 open
揩 wipe
楷 model
凯 triumphant
慨 indignant
刊 print
堪 can
勘 survey
坎 bank
砍 chop
看 look
康 health
慷 generous
糠 bran
扛 shoulder
抗 resist
亢 high
炕 kang
考 examine
拷 flog
烤 toast
靠 depend
坷 rough
苛 severe
柯 Ke
棵 plants
磕 knock
颗 star
科 family
壳 shell
咳 cough
可 may
渴 thirsty
克 gram
刻 carve
客 customer
课 class
肯 agree
啃 gnaw
垦 cultivate
恳 earnestly
坑 pit
吭 throat
空 empty
恐 fear
孔 hole
控 control
抠 carve
口 mouth
扣 button
寇 bandit
枯 dull
哭 cry
窟 cave
苦 bitter
酷 cruel
库 library
裤 pants
夸 boast
垮 collapse
挎 carry
跨 stride
胯 hip
块 chunk
筷 chopsticks
侩 middleman
快 quick
宽 wide
款 sincere
匡 rectify
筐 basket
狂 mad
框 frame
矿 mine
眶 orbit
旷 vast
况 condition
亏 lose
盔 helmet
岿 hills
窥 peep
葵 plants
奎 Kui
魁 chief
傀 after
馈 present
愧 ashamed
溃 fester
坤 kun
昆 offspring
捆 bundle
困 tired
括 include
扩 expand
廓 outline
阔 wide
垃 loading
拉 pull
喇 saliva
蜡 wax
腊 meat
辣 hot
啦 La
莱 pigweed
来 come
赖 rely
蓝 kohlrabiblue
婪 avaricious
栏 hurdle
拦 bar
篮 basket
阑 bar
兰 orchid
澜 waves
谰 false
揽 seize
览 view
懒 lazy
缆 cable
烂 rot
滥 excessive
琅 Lang
榔 Lang
狼 wolf
廊 corridor
郎 man
朗 bright
浪 wave
捞 gain
劳 work
牢 prison
老 aged
佬 man
姥 grandma
酪 junket
烙 brand
涝 waterlogging
勒 lux
乐 happy
雷 thunder
镭 radium
蕾 bud
磊 build
累 tire
儡 puppet
垒 base
擂 hit
肋 rib
类 kind
泪 tear
棱 edge
楞 arris
冷 cold
厘 centimeter
梨 pear
犁 plough
黎 multitude
篱 fence
狸 weasel
离 leave
漓 water
理 manage
李 plum
里 inside
鲤 carp
礼 ceremony
莉 jasmine
荔 litchi
吏 official
栗 chestnut
丽 beautiful
厉 Li
励 encourage
砾 gravel
历 calendar
利 benefit
僳 Lisu
例 example
俐 smart
痢 dysentery
立 erect
粒 grain
沥 drop
隶 subordinate
力 force
璃 glass
哩 mile
俩 two
联 unite
莲 lotus
连 even
镰 sickle
廉 cheap
怜 pity
涟 ripples
帘 curtain
敛 restrain
脸 face
链 chain
恋 love
炼 refine
练 train
粮 grain
凉 cool
梁 bridge
粱 grain
良 good
两 some
辆 car
量 quantity
晾 air
亮 bright
谅 forgive
撩 sprinkle
聊 merely
僚 official
疗 cure
燎 burn
寥 absurd
辽 Liao
潦 water
了 finish
撂 put
镣 shackles
廖 Liao
料 material
列 column
裂 split
烈 strong
劣 bad
猎 hunt
琳 jade
林 forest
磷 phosphorus
霖 rain
临 face
邻 neighbour
鳞 scale
淋 pour
凛 afraid
赁 hire
吝 stingy
拎 carry
玲 jade
菱 chestnut
零 zero
龄 age
铃 bell
伶 actor
羚 antelope
凌 insult
灵 quick
陵 tomb
岭 mountain
领 neck
另 another
令 order
溜 slide
琉 iwo
榴 pomegranate
硫 sulphur
馏 distil
留 leave
刘 kill
瘤 tumour
流 stream
柳 willow
六 six
龙 dragon
聋 deaf
咙 windpipe
笼 cage
窿 gallery
隆 deep
垄 ridge
拢 approach
陇 Gansu
楼 floor
娄 weak
搂 embrace
篓 basket
漏 leak
陋 ugly
芦 reed
卢 Lu
颅 cranium
庐 cottage
炉 furnace
掳 capture
卤 halogen
虏 captive
鲁 Lu
麓 hill
碌 commonplace
露 dew
路 way
赂 bribe
鹿 deer
潞 river
禄 emolument
录 record
陆 land
戮 lancinate
驴 donkey
吕 Lü
铝 aluminum
侣 companion
旅 force
履 shoe
屡 repeatedly
缕 wisp
虑 consider
氯 chlorine
律 law
率 rate
滤 filter
绿 green
峦 mountains
挛 bent
孪 twin
滦 river
卵 egg
乱 chaos
掠 plunder
略 summary
抡 brandish
轮 wheel
伦 order
仑 method
沦 fall
纶 silk
论 discuss
萝 plants
螺 snail
罗 collect
逻 patrol
锣 gong
箩 basket
骡 mule
裸 naked
落 drop
洛 Luoyang
骆 horse
络 collateral
妈 ma
麻 hemp
玛 Mah
码 yard
蚂 day
马 horse
骂 abuse
嘛 mɑ
吗 what
埋 bury
买 buy
麦 wheat
卖 sell
迈 step
脉 pulse
瞒 conceal
馒 bread
蛮 quite
满 full
蔓 vine
曼 graceful
慢 slow
漫 free
谩 deceive
芒 awn
茫 ignorant
盲 blind
氓 common
忙 busy
莽 rash
猫 cat
茅 cogongrass
锚 anchor
毛 fur
矛 spear
铆 rivet
卯 mortise
茂 luxuriant
冒 risk
帽 cap
貌 appearance
贸 trade
么 such
玫 rose
枚 trunk
梅 plum
酶 enzyme
霉 mildew
煤 coal
没 absence
眉 eyebrow
媒 intermediary
镁 magnesium
每 every
美 beauty
昧 hide
寐 sleep
妹 sister
媚 flatter
门 door
闷 bored
们 plural
萌 sprout
蒙 cover
檬 lemon
盟 alliance
锰 manganese
猛 fierce
梦 dream
孟 Meng
眯 narrow
醚 ether
靡 waste
糜 millet
迷 lost
谜 riddle
弥 more
米 meter
秘 secret
觅 seek
泌 secrete
蜜 honey
密 thick
幂 power
棉 cotton
眠 sleep
绵 soft
冕 crown
免 exempt
勉 strive
娩 childbirth
缅 remote
面 face
苗 seedling
描 trace
瞄 glance
藐 small
秒 second
渺 insignificant
庙 temple
妙 wonderful
蔑 nothing
灭 destroy
民 civilian
抿 sip
皿 vessel
敏 quick
悯 commiserate
闽 Fujian
明 bright
螟 larva
鸣 sing
铭 inscription
名 name
命 life
谬 wrong
摸 fumble
摹 copy
蘑 mushroom
模 model
膜 membrane
磨 grind
摩 rub
魔 magic
抹 wipe
末 end
莫 no
墨 ink
默 silent
沫 foam
漠 desert
寞 quiet
陌 road
谋 seek
牟 seek
某 some
拇 thumb
牡 male
亩 mu
姆 nurse
母 mother
墓 tomb
暮 evening
幕 curtain
募 raise
慕 admire
木 timber
目 eye
睦 peaceful
牧 herd
穆 reverent
拿 take
哪 which
呐 slow
钠 sodium
那 the
娜 elegant
纳 receive
氖 neon
乃 so
奶 milk
耐 bear
奈 but
南 south
男 man
难 difficult
囊 purse
挠 scratch
脑 brain
恼 unhappy
闹 noisy
淖 mire
呢 wool
馁 dispirited
内 within
嫩 tender
能 energy
妮 girl
霓 rainbow
倪 clue
泥 mud
尼 Buddhist
拟 plan
你 you
匿 conceal
腻 greasy
逆 contrary
溺 drown
蔫 wither
拈 pick
年 year
碾 grind
撵 oust
捻 entwist
念 read
娘 mother
酿 brew
鸟 bird
尿 urine
捏 pinch
聂 Nie
孽 evil
啮 gnaw
镊 tweezers
镍 nickel
涅 alunite
您 you
柠 lemon
狞 ferocious
凝 coagulate
宁 rather
拧 twist
泞 mud
牛 cow
扭 twist
钮 handle
纽 knob
脓 pus
浓 thick
农 farming
弄 fetch
奴 slave
努 protrude
怒 anger
女 girl
暖 warm
虐 cruel
疟 malaria
挪 move
懦 cowardly
糯 cereal
诺 promise
哦 oh
欧 Europe
鸥 gull
殴 hit
藕 lotus
呕 vomit
偶 even
沤 bubble
啪 bang
趴 grovel
爬 climb
帕 handkerchief
怕 fear
琶 pa
拍 pat
排 row
牌 board
徘 outside
湃 surge
派 group
攀 climb
潘 Pan
盘 dish
磐 stay
盼 expect
畔 bank
判 distinguish
叛 betray
乓 bang
庞 huge
旁 side
耪 cultivate
胖 fat
抛 throw
咆 roar
刨 plane
炮 cannon
袍 robe
跑 run
泡 bubble
呸 bah
胚 embryo
培 train
裴 Pei
赔 compensate
陪 accompany
配 match
佩 admire
沛 abundant
喷 sprinkle
盆 basin
砰 bang
抨 attack
烹 cook
澎 splash
彭 Peng
蓬 fluffy
棚 shed
硼 Peng
篷 sail
膨 swell
朋 friend
鹏 roc
捧 hold
碰 touch
坯 base
砒 arsenic
霹 strike
批 batch
披 separate
劈 hack
琵 Pi
毗 adjoin
啤 beer
脾 spleen
疲 tired
皮 skin
匹 lone
痞 ruffian
僻 out-of-the-way
屁 fart
譬 example
篇 piece
偏 prejudiced
片 slice
骗 cheat
飘 flutter
漂 float
瓢 ladle
票 ticket
撇 cast
瞥 glance
拼 spell
频 frequent
贫 poor
品 grade
聘 engage
乒 ping
坪 ground
苹 fern
萍 duckweed
平 flat
凭 proof
瓶 vase
评 comment
屏 screen
坡 slope
泼 splash
颇 quite
婆 mother-in-law
破 broken
魄 soul
迫 compel
粕 rice
剖 dissect
扑 snap
铺 pave
仆 servant
莆 achieving
葡 Portugal
菩 pu
蒲 cattail
埔 place
朴 simple
圃 garden
普 general
浦 riverside
谱 spectrum
曝 expose
瀑 waterfall
期 expect
欺 deceive
栖 perch
戚 relative
妻 wife
七 seven
凄 cold
漆 paint
柒 seven
沏 infuse
其 its
棋 chess
奇 odd
歧 branch
畦 field
崎 mountainous
脐 navel
齐 even
旗 flag
祈 pray
祁 Qiyang
骑 ride
起 rise
岂 delighted
乞 supplicate
企 expect
启 open
契 contract
砌 step
器 implement
气 gas
迄 till
弃 abandon
汽 steam
泣 sob
讫 settle
掐 pinch
洽 consult
牵 lead
扦 stick
钎 borer
铅 lead
千 thousand
迁 move
签 sign
仟 thousand
谦 modest
乾 干
黔 black
钱 money
钳 pincers
前 front
潜 latent
遣 send
浅 shallow
谴 condemn
堑 moat
嵌 inlay
欠 owe
歉 apology
枪 gun
呛 choke
腔 antrum
羌 Qiang
墙 wall
蔷 rose
强 strong
抢 rob
橇 sledge
锹 shovel
敲 knock
悄 quiet
桥 bridge
瞧 look
乔 tall
侨 abroad
巧 artful
鞘 sheath
撬 prize
翘 raise
峭 precipitous
俏 spruce
窍 aperture
切 chop
茄 eggplant
且 also
怯 timid
窃 pilfer
钦 admire
侵 invade
亲 parent
秦 Qin
琴 lyra
勤 frequently
芹 celery
擒 capture
禽 birds
寝 sleep
沁 ooze
青 green
轻 light
氢 hydrogen
倾 collapse
卿 minister
清 clear
擎 lift
晴 clear
氰 cyanogen
情 passion
顷 just
请 please
庆 celebrate
琼 jade
穷 poor
秋 autumn
丘 mound
邱 Qiu
球 ball
求 beg
囚 prisoner
酋 chieftain
泅 swim
趋 hasten
区 district
蛆 maggot
曲 song
躯 body
屈 bend
驱 disperse
渠 canal
取 fetch
娶 marry
龋 caries
趣 interest
去 go
圈 circle
颧 cheekbone
权 right
醛 aldehyde
泉 spring
全 whole
痊 recover
拳 boxing
犬 dog
券 ticket
劝 persuade
缺 lack
炔 alkyne
瘸 limp
却 yet
鹊 magpie
榷 discuss
确 true
雀 sparrow
裙 skirt
群 group
然 right
燃 burn
冉 slowly
染 dye
瓤 flesh
壤 soil
攘 seize
嚷 shout
让 yield
饶 forgive
扰 harass
绕 reel
惹 offend
热 hot
壬 Ren
仁 benevolence
人 person
忍 tolerate
韧 tough
任 allow
认 recognize
刃 blade
妊 pregnant
纫 thread
扔 throw
仍 still
日 day
戎 army
茸 fluffy
蓉 lotus
荣 glory
融 melt
熔 melt
溶 dissolve
容 appearance
绒 woolen
冗 redundant
揉 massage
柔 soft
肉 meat
茹 eat
蠕 wriggle
儒 Confucianism
孺 child
如 like
辱 disgrace
乳 milk
汝 you
入 enter
褥 mattress
软 mild
阮 nephew
蕊 stamen
瑞 auspicious
锐 acute
闰 intercalary
润 embellish
若 like
弱 weak
撒 scatter
洒 sprinkle
萨 Sa
腮 cheek
